host_id;environment_id;environment_level;event_day;event_time;event_type;measurement_type;measurement_unit;measurement_quantity
103;1;;1;;isolator ;;;
111;1;;1;;isolator ;;;
114;1;;1;;isolator ;;;
121;1;;1;;isolator ;;;
130;1;;1;;isolator ;;;
138;1;;1;;isolator ;;;
140;1;;1;;isolator ;;;
153;1;;1;;isolator ;;;
177;1;;1;;isolator ;;;
190;1;;1;;isolator ;;;
107;2;;1;;isolator ;;;
115;2;;1;;isolator ;;;
124;2;;1;;isolator ;;;
141;2;;1;;isolator ;;;
142;2;;1;;isolator ;;;
146;2;;1;;isolator ;;;
154;2;;1;;isolator ;;;
163;2;;1;;isolator ;;;
178;2;;1;;isolator ;;;
191;2;;1;;isolator ;;;
116;3;;1;;isolator ;;;
118;3;;1;;isolator ;;;
129;3;;1;;isolator ;;;
144;3;;1;;isolator ;;;
155;3;;1;;isolator ;;;
157;3;;1;;isolator ;;;
168;3;;1;;isolator ;;;
181;3;;1;;isolator ;;;
192;3;;1;;isolator ;;;
194;3;;1;;isolator ;;;
120;4;;1;;isolator ;;;
137;4;;1;;isolator ;;;
145;4;;1;;isolator ;;;
158;4;;1;;isolator ;;;
159;4;;1;;isolator ;;;
171;4;;1;;isolator ;;;
172;4;;1;;isolator ;;;
182;4;;1;;isolator ;;;
195;4;;1;;isolator ;;;
196;4;;1;;isolator ;;;
104;5;;1;;isolator ;;;
109;5;;1;;isolator ;;;
122;5;;1;;isolator ;;;
125;5;;1;;isolator ;;;
147;5;;1;;isolator ;;;
161;5;;1;;isolator ;;;
169;5;;1;;isolator ;;;
185;5;;1;;isolator ;;;
188;5;;1;;isolator ;;;
198;5;;1;;isolator ;;;
112;6;;1;;isolator ;;;
123;6;;1;;isolator ;;;
134;6;;1;;isolator ;;;
136;6;;1;;isolator ;;;
156;6;;1;;isolator ;;;
162;6;;1;;isolator ;;;
173;6;;1;;isolator ;;;
175;6;;1;;isolator ;;;
193;6;;1;;isolator ;;;
199;6;;1;;isolator ;;;
113;7;;1;;isolator ;;;
117;7;;1;;isolator ;;;
126;7;;1;;isolator ;;;
139;7;;1;;isolator ;;;
143;7;;1;;isolator ;;;
164;7;;1;;isolator ;;;
176;7;;1;;isolator ;;;
180;7;;1;;isolator ;;;
189;7;;1;;isolator ;;;
197;7;;1;;isolator ;;;
201;1;;1;;isolator ;;;
208;1;;1;;isolator ;;;
215;1;;1;;isolator ;;;
222;1;;1;;isolator ;;;
229;1;;1;;isolator ;;;
236;1;;1;;isolator ;;;
243;1;;1;;isolator ;;;
250;1;;1;;isolator ;;;
257;1;;1;;isolator ;;;
264;1;;1;;isolator ;;;
271;1;;1;;isolator ;;;
278;1;;1;;isolator ;;;
285;1;;1;;isolator ;;;
292;1;;1;;isolator ;;;
299;1;;1;;isolator ;;;
202;2;;1;;isolator ;;;
209;2;;1;;isolator ;;;
