host_id;event_day;event_time;event_type;measurement_type;measurement_quantity;measurement_outcome;measurement_unit;inoculation_type;inoculation_pathogen;inoculation_dose;inoculation_unit;treatment_type;treatment_dose;treatment_unit
103;1;08:00;measurement;swabweight_before;4.91;;gram;;;;;;;
103;1;14:00;measurement;swabweight_after;4.94;;gram;;;;;;;
103;1;;measurement;esbl_count;0;;;;;;;;;
103;1;;measurement;ecoli_count;0;;;;;;;;;
103;2;08:00;measurement;swabweight_before;4.89;;gram;;;;;;;
103;2;14:00;measurement;swabweight_after;4.9;;gram;;;;;;;
103;2;;measurement;esbl_count;0;;;;;;;;;
103;2;;measurement;ecoli_count;1000;;;;;;;;;
103;3;08:00;measurement;swabweight_before;4.9;;gram;;;;;;;
103;3;14:00;measurement;swabweight_after;4.94;;gram;;;;;;;
103;3;;measurement;esbl_count;0;;;;;;;;;
103;3;;measurement;ecoli_count;10000;;;;;;;;;
103;4;08:00;measurement;swabweight_before;4.64;;gram;;;;;;;
103;4;14:00;measurement;swabweight_after;4.74;;gram;;;;;;;
103;4;;measurement;esbl_count;0;;;;;;;;;
103;4;;measurement;ecoli_count;10000;;;;;;;;;
103;5;08:00;measurement;swabweight_before;4.63;;gram;;;;;;;
103;5;14:00;measurement;swabweight_after;4.7;;gram;;;;;;;
103;5;;measurement;esbl_count;0;;;;;;;;;
103;5;;measurement;ecoli_count;1000;;;;;;;;;
103;6;08:00;measurement;swabweight_before;4.74;;gram;;;;;;;
103;6;14:00;measurement;swabweight_after;4.79;;gram;;;;;;;
103;6;;measurement;esbl_count;0;;;;;;;;;
103;6;;measurement;ecoli_count;1000;;;;;;;;;
103;7;08:00;measurement;swabweight_before;4.66;;gram;;;;;;;
103;7;14:00;measurement;swabweight_after;4.73;;gram;;;;;;;
103;7;;measurement;esbl_count;0;;;;;;;;;
103;7;;measurement;ecoli_count;1000;;;;;;;;;
103;8;08:00;measurement;swabweight_before;4.66;;gram;;;;;;;
103;8;14:00;measurement;swabweight_after;4.7;;gram;;;;;;;
103;8;;measurement;esbl_count;0;;;;;;;;;
103;8;;measurement;ecoli_count;1000;;;;;;;;;
103;9;08:00;measurement;swabweight_before;4.65;;gram;;;;;;;
103;9;14:00;measurement;swabweight_after;4.69;;gram;;;;;;;
103;9;;measurement;esbl_count;0;;;;;;;;;
103;9;;measurement;ecoli_count;10000;;;;;;;;;
103;10;08:00;measurement;swabweight_before;4.76;;gram;;;;;;;
103;10;14:00;measurement;swabweight_after;4.84;;gram;;;;;;;
103;10;;measurement;esbl_count;0;;;;;;;;;
103;10;;measurement;ecoli_count;1.00E+05;;;;;;;;;
103;11;08:00;measurement;swabweight_before;4.66;;gram;;;;;;;
103;11;14:00;measurement;swabweight_after;4.76;;gram;;;;;;;
103;11;;measurement;esbl_count;0;;;;;;;;;
103;11;;measurement;ecoli_count;1000;;;;;;;;;
103;12;08:00;measurement;swabweight_before;4.75;;gram;;;;;;;
103;12;14:00;measurement;swabweight_after;4.81;;gram;;;;;;;
103;12;;measurement;esbl_count;0;;;;;;;;;
103;12;;measurement;ecoli_count;1000;;;;;;;;;
103;13;08:00;measurement;swabweight_before;4.72;;gram;;;;;;;
103;13;14:00;measurement;swabweight_after;4.89;;gram;;;;;;;
103;13;;measurement;esbl_count;0;;;;;;;;;
103;13;;measurement;ecoli_count;1.00E+05;;;;;;;;;
103;14;08:00;measurement;swabweight_before;4.73;;gram;;;;;;;
103;14;14:00;measurement;swabweight_after;4.84;;gram;;;;;;;
103;14;;measurement;esbl_count;0;;;;;;;;;
103;14;;measurement;ecoli_count;1.00E+05;;;;;;;;;
103;16;08:00;measurement;swabweight_before;4.72;;gram;;;;;;;
103;16;14:00;measurement;swabweight_after;4.77;;gram;;;;;;;
103;16;;measurement;esbl_count;0;;;;;;;;;
103;16;;measurement;ecoli_count;10000;;;;;;;;;
103;19;08:00;measurement;swabweight_before;4.75;;gram;;;;;;;
103;19;14:00;measurement;swabweight_after;4.81;;gram;;;;;;;
103;19;;measurement;esbl_count;0;;;;;;;;;
103;19;;measurement;ecoli_count;1000;;;;;;;;;
103;21;08:00;measurement;swabweight_before;4.73;;gram;;;;;;;
103;21;14:00;measurement;swabweight_after;4.89;;gram;;;;;;;
103;21;;measurement;esbl_count;0;;;;;;;;;
103;21;;measurement;ecoli_count;1000;;;;;;;;;
103;22;;measurement;cae_faeces;0.67;;;;;;;;;
103;22;;measurement;cae_faeces;7.35;;;;;;;;;
103;22;;measurement;cae_esbl;0;;;;;;;;;
103;22;;measurement;cae_ecoli;1.00E+05;;;;;;;;;
104;1;08:00;measurement;swabweight_before;4.84;;gram;;;;;;;
104;1;14:00;measurement;swabweight_after;4.86;;gram;;;;;;;
104;1;;measurement;esbl_count;0;;;;;;;;;
104;1;;measurement;ecoli_count;0;;;;;;;;;
104;2;08:00;measurement;swabweight_before;4.86;;gram;;;;;;;
104;2;14:00;measurement;swabweight_after;4.9;;gram;;;;;;;
104;2;;measurement;esbl_count;0;;;;;;;;;
104;2;;measurement;ecoli_count;10000;;;;;;;;;
