host_id;event_day;event_time;event_type;measurement_type;measurement_quantity;measurement_outcome;measurement_unit;inoculation_type;inoculation_pathogen;inoculation_dose;inoculation_unit;inoculation_outcome;treatment_type;treatment_dose;treatment_unit;treatment_outcome
103;1;08:00;M;swabweight_before;4.91;0;gram;;;;;;;;;
103;1;14:00;M;swabweight_after;4.94;0;gram;;;;;;;;;
103;1;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;1;10:00;M;ecoli_count;0;0;count;;;;;;;;;
103;2;08:00;M;swabweight_before;4.89;0;gram;;;;;;;;;
103;2;14:00;M;swabweight_after;4.9;0;gram;;;;;;;;;
103;2;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;2;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;3;08:00;M;swabweight_before;4.9;0;gram;;;;;;;;;
103;3;14:00;M;swabweight_after;4.94;0;gram;;;;;;;;;
103;3;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;3;10:00;M;ecoli_count;10000;0;count;;;;;;;;;
103;4;08:00;M;swabweight_before;4.64;0;gram;;;;;;;;;
103;4;14:00;M;swabweight_after;4.74;0;gram;;;;;;;;;
103;4;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;4;10:00;M;ecoli_count;10000;0;count;;;;;;;;;
103;5;08:00;M;swabweight_before;4.63;0;gram;;;;;;;;;
103;5;14:00;M;swabweight_after;4.7;0;gram;;;;;;;;;
103;5;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;5;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;6;08:00;M;swabweight_before;4.74;0;gram;;;;;;;;;
103;6;14:00;M;swabweight_after;4.79;0;gram;;;;;;;;;
103;6;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;6;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;7;08:00;M;swabweight_before;4.66;0;gram;;;;;;;;;
103;7;14:00;M;swabweight_after;4.73;0;gram;;;;;;;;;
103;7;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;7;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;8;08:00;M;swabweight_before;4.66;0;gram;;;;;;;;;
103;8;14:00;M;swabweight_after;4.7;0;gram;;;;;;;;;
103;8;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;8;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;9;08:00;M;swabweight_before;4.65;0;gram;;;;;;;;;
103;9;14:00;M;swabweight_after;4.69;0;gram;;;;;;;;;
103;9;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;9;10:00;M;ecoli_count;10000;0;count;;;;;;;;;
103;10;08:00;M;swabweight_before;4.76;0;gram;;;;;;;;;
103;10;14:00;M;swabweight_after;4.84;0;gram;;;;;;;;;
103;10;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;10;10:00;M;ecoli_count;100000;0;count;;;;;;;;;
103;11;08:00;M;swabweight_before;4.66;0;gram;;;;;;;;;
103;11;14:00;M;swabweight_after;4.76;0;gram;;;;;;;;;
103;11;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;11;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;12;08:00;M;swabweight_before;4.75;0;gram;;;;;;;;;
103;12;14:00;M;swabweight_after;4.81;0;gram;;;;;;;;;
103;12;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;12;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;13;08:00;M;swabweight_before;4.72;0;gram;;;;;;;;;
103;13;14:00;M;swabweight_after;4.89;0;gram;;;;;;;;;
103;13;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;13;10:00;M;ecoli_count;100000;0;count;;;;;;;;;
103;14;08:00;M;swabweight_before;4.73;0;gram;;;;;;;;;
103;14;14:00;M;swabweight_after;4.84;0;gram;;;;;;;;;
103;14;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;14;10:00;M;ecoli_count;100000;0;count;;;;;;;;;
103;16;08:00;M;swabweight_before;4.72;0;gram;;;;;;;;;
103;16;14:00;M;swabweight_after;4.77;0;gram;;;;;;;;;
103;16;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;16;10:00;M;ecoli_count;10000;0;count;;;;;;;;;
103;19;08:00;M;swabweight_before;4.75;0;gram;;;;;;;;;
103;19;14:00;M;swabweight_after;4.81;0;gram;;;;;;;;;
103;19;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;19;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;21;08:00;M;swabweight_before;4.73;0;gram;;;;;;;;;
103;21;14:00;M;swabweight_after;4.89;0;gram;;;;;;;;;
103;21;10:00;M;esbl_count;0;0;count;;;;;;;;;
103;21;10:00;M;ecoli_count;1000;0;count;;;;;;;;;
103;22;10:00;M;cae_faeces;0.67;0;count;;;;;;;;;
103;22;10:00;M;cae_faeces;7.35;0;count;;;;;;;;;
103;22;10:00;M;cae_esbl;0;0;count;;;;;;;;;
103;22;10:00;M;cae_ecoli;100000;0;count;;;;;;;;;
104;1;08:00;M;swabweight_before;4.84;0;gram;;;;;;;;;
104;1;14:00;M;swabweight_after;4.86;0;gram;;;;;;;;;
104;1;10:00;M;esbl_count;0;0;count;;;;;;;;;
104;1;10:00;M;ecoli_count;0;0;count;;;;;;;;;
