environment_id,environment_level
oT1,8
fN3,2
yZ3,14
eW4,3
bM5,2
pY9,14
fK4,11
dU1,2
rZ4,4
zO9,12
fS1,1
qY8,2
dR6,12
cJ8,6
dY6,2
yT5,6
zR2,7
cP2,8
tB6,5
gW8,2
gO7,2
aD9,7
aC0,2
bM1,13
hY8,12
mO5,2
bB0,1
yE9,0
zE6,2
oF1,7
lX6,1
sP6,6
eM8,3
uO4,14
nO2,7
eF6,12
nI0,3
xZ4,2
lU8,8
aR5,12
zK6,0
hI2,10
hX8,11
eC2,3
oS1,11
vV1,9
qG0,4
dJ7,7
kB8,8
eF2,6
zL7,11
aY3,8
gJ7,1
gH6,10
hH6,5
pL6,7
aY0,3
aF9,12
rE3,3
lX7,5
iX5,12
dK7,8
yI1,12
gF5,11
eP8,6
wA1,9
iF4,7
iM0,5
zQ2,13
oN1,10
qP5,6
cJ5,5
cU6,0
fU8,10
gC6,7
uU7,4
xX6,8
aJ3,2
bD2,10
hT1,12
cG0,7
bO5,14
rF7,9
jC8,6
yA6,2
bF8,14
sV0,2
uR8,0
uY6,11
aY8,9
rD3,10
oE7,7
xB7,3
kZ0,10
rD5,2
kE0,14
mR7,8
oH1,6
eM1,1
oM0,3
