environment_id,environment_level,host_id,event_day,event_time,event_type,measurement_type,measurement_unit,measurement_quantity
kG2,11,vH4,10,29:49,measurement,Rhonda Thornton,ml,8.304571542074228
bK4,5,hG4,10,15:50,allocation,Marissa Thomas,ml,6.780852482072694
jY3,6,eA2,9,25:30,allocation,Clinton Flores,mg,8.71084047511158
pG3,1,hC2,9,24:00,measurement,Jennifer Velasquez,g,4.548974757897116
iN6,12,oJ0,8,24:50,measurement,Rhonda Nguyen,g,12.178328283332647
fV7,7,rD6,5,10:09,measurement,Cassandra Hill,g,9.810527690086465
lF5,0,xH7,10,12:19,measurement,Jennifer Vincent,g,8.433518385410357
rN7,8,qM7,10,27:00,measurement,Lori Martinez,mg,11.26414865428836
uI4,6,eB9,6,11:50,measurement,Larry Boone,g,5.516724593676114
aM1,12,fA7,9,14:00,allocation,Linda Hernandez,g,13.823376993153994
jM7,7,oN2,14,24:29,measurement,Leslie Lewis,g,0.6200350044655811
eE7,2,kB0,14,15:59,allocation,Robert Simon,mg,2.806662293452969
sG7,9,dB4,11,12:39,measurement,Lisa Lawson,g,4.855606652270578
hA7,0,tN6,1,11:09,measurement,Caroline Miller,g,6.983960909674317
wM2,3,mN5,12,22:30,allocation,Richard Parker,g,7.263042305953155
nK7,12,aI5,0,19:50,measurement,Eric Wilson,g,11.487007076506481
qI0,8,dJ8,11,11:29,measurement,Sarah Stewart,mg,6.913904091151436
aX8,7,hH9,7,28:39,measurement,Jerry Delgado,g,7.095553615255107
cY5,8,gC7,8,29:20,measurement,Monica Gonzalez,g,11.58793015033719
jL8,0,gI4,12,19:59,measurement,Mallory Peterson DDS,mg,5.476525097528649
hM9,6,sG1,2,11:40,measurement,Alex Jones,g,3.9497346531933557
fM1,9,uP0,9,19:09,allocation,Arthur Martinez,g,10.701007857702889
qI2,6,fB3,4,14:20,measurement,Mr. Casey Neal Jr.,g,1.2172411039388797
yJ0,0,gA8,10,19:10,measurement,Dustin Swanson,mg,10.14740740474803
iP7,0,eB2,12,28:19,measurement,Sally Barton,ml,2.0886111931573765
oX9,3,yZ5,3,19:29,allocation,Jason Roman,ml,3.8648446683317013
oB6,1,bE5,10,19:10,measurement,Yolanda Rollins,mg,10.397207572793882
iT6,5,sA5,14,26:00,allocation,Ashley Miller,mg,8.496730793310116
oI2,14,dZ8,8,21:09,measurement,Kevin Martinez,g,12.570212973462114
pV1,4,iW3,8,27:29,allocation,Alisha Brown,ml,3.7409983955737824
sT7,13,qX3,1,15:50,measurement,Carla Mccoy,ml,0.5193679830429698
gS7,8,pX3,7,25:59,measurement,Shannon Gregory,ml,8.483527392198958
vH1,9,lD2,5,16:59,measurement,John Rodriguez,ml,9.65036888268722
qX8,0,bH2,10,18:40,allocation,Jeffrey Richardson Jr.,mg,12.856057637905984
vF6,4,uA1,1,15:39,allocation,Kristine Lewis,ml,1.6594972029495891
cM2,1,eQ0,0,12:29,allocation,Stacey Wright,ml,4.559818901916473
jJ4,10,pR0,5,27:10,measurement,Anthony Medina,mg,10.39054094924359
yO5,9,iG2,10,22:19,measurement,Stacey Reynolds,mg,2.7233015981958193
dQ9,1,lI2,11,20:50,measurement,Diane Thomas,mg,11.698191098348175
bU2,10,mU8,7,19:49,measurement,Mark Rodriguez,ml,12.191574851737649
bY4,5,vF9,5,12:39,measurement,Carmen Stephens,g,9.868353207625132
eZ5,9,mF9,0,22:20,allocation,Daniel Chung,g,2.9957785871007996
sW4,7,jF8,12,16:19,measurement,Charles Doyle,g,4.7649403557525725
jN1,3,xL4,8,10:50,measurement,Andre Phillips,g,4.890957289781344
dW2,10,tB2,13,25:00,measurement,Erin Faulkner,mg,5.451336087169272
kW2,8,uP4,3,11:09,allocation,Katherine Barry,ml,6.562413030373551
zB1,13,aF1,14,26:10,allocation,James Alvarado,mg,0.6874736776849666
nQ2,0,iZ9,7,17:19,allocation,Jamie Hull,g,10.804764026737258
rD7,3,gM8,8,10:59,measurement,Yvonne Davis,mg,9.810787520423393
sP7,5,sQ9,9,12:00,allocation,Helen Schultz,ml,2.1146195542349973
cW1,0,cZ3,3,18:29,allocation,Sharon Walker,ml,14.402252611744617
xP3,12,mH1,9,16:00,allocation,Patrick Chandler,ml,11.452187880078025
aE0,10,zT4,9,27:09,measurement,Michael Lee,mg,1.5428751987501772
vD2,8,yF4,8,29:40,allocation,Kaitlyn Cordova,ml,2.6829539639121074
fT5,12,cP1,0,17:00,allocation,Erin Davis,mg,3.213793442662523
yL9,0,oL5,0,16:10,measurement,Tanya Dawson,ml,13.874119105834993
zG7,10,hW5,14,19:00,allocation,Erin Jackson,mg,13.929792046369007
wD4,3,vK3,8,13:10,measurement,Bryan Summers,g,0.8121452945996155
cW0,0,iR5,2,22:40,measurement,Matthew Taylor,g,10.623787685906853
vU6,14,vF8,13,12:40,measurement,Laura Brown,g,13.87458266848192
cA8,13,uF5,14,10:20,measurement,Carmen Fischer,ml,13.156643052498731
lS9,1,xG1,9,21:30,allocation,Melanie Harris,mg,8.95463716227507
lL8,2,gT8,11,20:30,allocation,Justin Allen,g,8.060110411363222
rO1,0,cF6,5,19:49,allocation,Tiffany Stevenson,ml,3.4441914352689156
zF3,1,xD2,11,16:39,allocation,Steven Morrison,mg,9.843401311761843
qK7,1,eQ5,1,13:59,measurement,Jacob Harris,ml,14.679216356833894
pR8,8,wX3,4,22:39,allocation,Tracy Vaughn,ml,9.658564555672477
kJ6,0,nQ8,12,10:20,measurement,Melissa Martin MD,ml,1.8671931525672796
gW8,6,wF0,4,22:30,allocation,Terry Brown,g,0.30757357377162786
lG6,7,dX7,4,25:59,measurement,Edward Green,mg,9.20344071414781
lR8,12,oI4,1,14:19,measurement,Curtis Cummings,g,7.729946967334432
qY8,12,lJ8,12,26:59,allocation,Lori Lewis,mg,13.386029898656602
yH0,12,bI0,6,27:40,measurement,Billy Hayes,g,12.490038897557099
xV9,2,hD8,12,27:30,measurement,Pamela Foster,ml,4.334343298332742
kH6,2,yL4,13,12:30,allocation,Sandy Boyd,ml,6.493269812072037
pH3,14,eK8,14,24:59,measurement,Jennifer Taylor,g,5.201755204973621
rA0,9,uA2,4,11:49,allocation,Brent Weber,mg,3.5944130487330255
lI3,1,oO2,10,12:39,measurement,Thomas King,mg,12.87044863719824
rM5,2,uQ5,1,17:29,allocation,Melissa Gonzalez,ml,8.117072447123228
yH4,2,wL3,9,23:29,allocation,Kimberly Pena,ml,13.504325745880406
cJ4,13,gZ4,3,23:50,measurement,Latoya Fisher,mg,1.7301039202384938
